loan_id,n_inst,n_obs,on_time_rate,early_rate,late_rate,mean_delay,exposure,max_delay,first_delinq_k,first_delinq_frac,return_to_current_k,re_delinq_k,ever_delinq,n_unpaid,year,status,outcome,plan_len,purpose_len,amount,duration,rate,gender,age,job,income,expend,disposable,past_ordinary,past_early,past_late,past_overdue,past_loss,in_sample,inc17,exp17,disp17,capacity,amt_won,dur_m,req_pay,req_avg,pcg_abs,pcg_ratio,pcg_over,pcg_abs_avg
B100904-5,6,6,1.0,0.6667,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,274,396,500만원,24개월,0.3,남자,세,기타,,,,48.0,36.0,0.0,0.0,0.0,1,,,,,5000000.0,24.0,333333.3333333334,273437.5,,,,
B100908-5,1,1,0.0,0.0,1.0,61.0,61,61,1.0,1.0,,,1,0,2010,연체중,손실,255,893,100만원,6개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1000000.0,6.0,191666.66666666663,181250.0,,,,
B100918-5,9,9,0.2222,0.2222,0.7778,12.222,110,31,3.0,0.333,,,1,0,2010,연체중,손실,133,985,150만원,12개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,
B100930-5,7,7,0.8571,0.4286,0.1429,0.571,4,4,4.0,0.571,5.0,,1,0,2010,정상종료,완납,213,781,100만원,12개월,0.3,남자,세,기타,,,,10.0,4.0,8.0,0.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B101003-5,9,9,1.0,0.6667,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,598,402,100만원,9개월,0.3,여자,세,기타,,,,78.0,51.0,0.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B101006-5,11,11,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,335,1471,200만원,12개월,0.3,여자,세,기타,,,,23.0,23.0,0.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B101011-5,11,11,0.0,0.0,1.0,13.091,144,31,1.0,0.091,,,1,0,2010,연체중,손실,580,1900,150만원,12개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,
B101024-5,5,5,1.0,0.8,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,229,823,150만원,6개월,0.3,여자,세,기타,,,,84.0,58.0,16.0,0.0,0.0,1,,,,,1500000.0,6.0,287500.0,271875.0,,,,
B101029-5,3,3,1.0,0.3333,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,255,928,400만원,15개월,0.3,여자,세,기타,,,,9.0,5.0,3.0,0.0,0.0,1,,,,,4000000.0,15.0,366666.6666666667,320000.0,,,,
B101031-5,7,7,0.8571,0.8571,0.1429,0.429,3,3,6.0,0.857,7.0,,1,0,2010,정상종료,완납,1043,643,200만원,12개월,0.3,남자,세,기타,,,,,,,,,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
